no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣
1218,2022/2/24 19:02,"0150deb7d0,0103",U50284f2fcdf83512e9e4968a77e2a672,聚鮮食堂,23.5645,119.56516,294839,55,1,風
1228,2022/2/24 20:33,"0150deb7d0,0010",U50284f2fcdf83512e9e4968a77e2a672,掌上明珠,23.57831798,119.5822953,295216,55,1,風
683,2022/2/18 10:43,"0150deb7d0,0371",U67a7a0290b58d9e0f8cff519fe54860b,阿鳳牛肉河粉,23.57142,119.57239,274229,54,1,陰雨
756,2022/2/19 10:25,"0150deb7d0,0360",U67a7a0290b58d9e0f8cff519fe54860b,芳遠水果行,23.56751,119.56721,277739,54,1,風轉小雨
1565,2022/2/4 10:57,"0150deb7d0,0384",U67a7a0290b58d9e0f8cff519fe54860b,葉子的店,23.57429,119.57824,233192,54,1,風
1597,2022/2/4 16:40,"0150deb7d0,0027",U67a7a0290b58d9e0f8cff519fe54860b,五鮮上醬海產專賣,23.56580466,119.5654261,234150,54,1,風
1651,2022/2/5 17:02,"0150deb7d0,0072",U67a7a0290b58d9e0f8cff519fe54860b,日香美食坊歡迎您～,23.57466,119.5768,236597,54,1,陰風 
1675,2022/2/5 20:05,"0150deb7d0,0028",U67a7a0290b58d9e0f8cff519fe54860b,富勝食品企業行,23.54909,119.61929,237185,54,1,陰風 
2863,2022/3/20 10:53,"0150deb7d0,0079",U67a7a0290b58d9e0f8cff519fe54860b,冰吧豆花店 打卡送配料~~,23.56673,119.56773,368550,54,1,陰雨
2933,2022/3/21 17:40,"0150deb7d0,0329",U67a7a0290b58d9e0f8cff519fe54860b,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,372400,54,1,陰
4295,2022/4/18 11:42,"0150deb7d0,0328",U67a7a0290b58d9e0f8cff519fe54860b,瑞師父海菜煎餅,23.56579,119.56542,452538,54,1,陰風
4361,2022/4/19 11:41,"0150deb7d0,0083",U67a7a0290b58d9e0f8cff519fe54860b,海功商號(波霸花枝丸、月亮蝦餅、當季海鮮宅配),23.56542,119.56562,455619,54,1,雨風
727,2022/2/18 18:26,"0150deb7d0,0086",U777bd7ab1fdf2dd08c34b34acdcf50d9,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,276211,52,0,陰雨
779,2022/2/19 17:51,"0150deb7d0,0216",U777bd7ab1fdf2dd08c34b34acdcf50d9,新巴適經典麻辣鍋,23.57179,119.57882,279067,52,0,風轉小雨
3384,2022/3/3 14:57,"0150deb7d0,0094",U777bd7ab1fdf2dd08c34b34acdcf50d9,菲菲檸檬,23.57352,119.57246,316658,52,0,晴
3537,2022/3/4 13:47,"0150deb7d0,0095",U777bd7ab1fdf2dd08c34b34acdcf50d9,海城上湯鮮魚粥飯麵館,23.57711,119.57021,319564,52,0,晴
4754,2022/4/29 07:38,"0150deb7d0,0262",U777bd7ab1fdf2dd08c34b34acdcf50d9,登峰藝品行(登峰特產行),23.56505,119.56522,481419,52,0,晴風
4812,2022/4/30 05:01,"0150deb7d0,0330",U777bd7ab1fdf2dd08c34b34acdcf50d9,招柴莉莉,23.57278,119.57504,482493,52,0,風
3122,2022/3/25 14:47,"0150deb7d0,0288",Ud9f189e6e4cbc8628e6994a3adc90939,皮克吐司,23.56714,119.56467,384456,55,0,陰
3154,2022/3/26 12:16,"0150deb7d0,0101",Ud9f189e6e4cbc8628e6994a3adc90939,青灣餐廳,23.52903,119.55413,387004,55,0,多雲轉小雨
2644,2022/3/17 08:24,"0150deb7d0,0179",Uc90a03dc5c8efd275ba07ee176e23375,祥馨鮮鮮果舖,23.57336,119.57256,359378,73,1,雨陰
2700,2022/3/18 16:49,"0150deb7d0,0418",Uc90a03dc5c8efd275ba07ee176e23375,澎湖國家風景區,23.55681074,119.6064877,363834,73,1,陰
164,2022/2/10 18:04,"0150deb7d0,0207",U6368c5aa5f76abbfc284f5224f2ae22a,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,249752,67,1,陰風 
193,2022/2/10 21:35,"0150deb7d0,0329",U6368c5aa5f76abbfc284f5224f2ae22a,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,250483,67,1,陰風 
195,2022/2/10 21:37,"0150deb7d0,0308",U6368c5aa5f76abbfc284f5224f2ae22a,沐一日式豬排專賣店,23.57319,119.57316,250495,67,1,陰風 
232,2022/2/11 14:01,"0150deb7d0,0347",U6368c5aa5f76abbfc284f5224f2ae22a,提樂茶飲專賣店,23.56668,119.5654,252186,67,1,陰風 
233,2022/2/11 14:02,"0150deb7d0,0165",U6368c5aa5f76abbfc284f5224f2ae22a,熊掌心健康果茶,23.56358,119.56499,252190,67,1,陰風 
250,2022/2/11 17:44,"0150deb7d0,0144",U6368c5aa5f76abbfc284f5224f2ae22a,小小間,23.57003,119.56901,253060,67,1,陰風 
264,2022/2/11 21:07,"0150deb7d0,0066",U6368c5aa5f76abbfc284f5224f2ae22a,北海道海產專賣店,23.56637,119.56886,253863,67,1,陰風 
167,2022/2/10 18:14,"0150deb7d0,0289",U3bef99915c174d00c8771be3302bef5d,抓包．馬公分店,23.5729,119.57694,249785,36,0,陰風 
238,2022/2/11 16:19,"0150deb7d0,0338",U3bef99915c174d00c8771be3302bef5d,曾記滿福堂擔仔麵,23.57406,119.57323,252675,36,0,陰風 
239,2022/2/11 16:20,"0150deb7d0,0329",U3bef99915c174d00c8771be3302bef5d,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,252678,36,0,陰風 
253,2022/2/11 18:13,"0150deb7d0,0072",U3bef99915c174d00c8771be3302bef5d,日香美食坊歡迎您～,23.57466,119.5768,253217,36,0,陰風 
545,2022/2/16 13:47,"0150deb7d0,0040",U3bef99915c174d00c8771be3302bef5d,自由塔,23.56993769,119.5713121,267832,36,0,陰風 
567,2022/2/16 14:00,"0150deb7d0,0308",U3bef99915c174d00c8771be3302bef5d,沐一日式豬排專賣店,23.57319,119.57316,267899,36,0,陰風 
577,2022/2/16 14:23,"0150deb7d0,0311",U3bef99915c174d00c8771be3302bef5d,澎湖 朝陽路肉圓,23.57339,119.57697,268002,36,0,陰風 
638,2022/2/17 15:05,"0150deb7d0,0144",U3bef99915c174d00c8771be3302bef5d,小小間,23.57003,119.56901,271462,36,0,風
1899,2022/2/8 16:14,"0150deb7d0,0371",U3bef99915c174d00c8771be3302bef5d,阿鳳牛肉河粉,23.57142,119.57239,244737,36,0,風
1966,2022/2/9 12:22,"0150deb7d0,0401",U3bef99915c174d00c8771be3302bef5d,駱哥港式點心,23.56584,119.56856,246359,36,0,風
1997,2022/2/9 17:49,"0150deb7d0,0024",U3bef99915c174d00c8771be3302bef5d,澎漁宴餐廳,23.56625705,119.5690162,247203,36,0,風
2001,2022/2/9 18:17,"0150deb7d0,0149",U3bef99915c174d00c8771be3302bef5d,拾捌度C鮮果茶飲站,23.57436,119.5795,247291,36,0,風
3600,2022/3/5 11:14,"0150deb7d0,0339",U3bef99915c174d00c8771be3302bef5d,秀秀蔥大餅,23.5764,119.57411,322107,36,0,陰風
3691,2022/3/6 19:12,"0150deb7d0,0069",U3bef99915c174d00c8771be3302bef5d,岩田丼屋歡迎您！,23.57708,119.57257,326441,36,0,風   雨
391,2022/2/14 12:56,"0150deb7d0,0393",Uab0c17a03c299ff3beb9c2815e87e385,紐西蘭牛排館,23.57295,119.57542,261601,45,0,陰風 
504,2022/2/15 18:09,"0150deb7d0,0289",Uab0c17a03c299ff3beb9c2815e87e385,抓包．馬公分店,23.5729,119.57694,265762,45,0,陰風 
753,2022/2/19 13:44,"0150deb7d0,0033",Uab0c17a03c299ff3beb9c2815e87e385,澎福食品行,23.58479347,119.6631239,278232,45,0,風轉小雨
915,2022/2/20 18:27,"0150deb7d0,0281",Uab0c17a03c299ff3beb9c2815e87e385,霸味薑母鴨,23.5705,119.57567,282148,45,0,風轉小雨
173,2022/2/10 18:55,"0150deb7d0,0305",U7a89fa99cb80c8496590501db322b56c,桃太郎日式料理,23.56613,119.56468,249891,49,0,陰風 
174,2022/2/10 19:02,"0150deb7d0,0162",U7a89fa99cb80c8496590501db322b56c,鯨 鯊威瑪,23.5667,119.56479,249930,49,0,陰風 
175,2022/2/10 19:10,"0150deb7d0,0144",U7a89fa99cb80c8496590501db322b56c,小小間,23.57003,119.56901,249961,49,0,陰風 
206,2022/2/11 13:21,"0150deb7d0,0175",U7a89fa99cb80c8496590501db322b56c,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,252018,49,0,陰風 
207,2022/2/11 13:26,"0150deb7d0,0094",U7a89fa99cb80c8496590501db322b56c,菲菲檸檬,23.57352,119.57246,252038,49,0,陰風 
213,2022/2/11 10:59,"0150deb7d0,0311",U7a89fa99cb80c8496590501db322b56c,澎湖 朝陽路肉圓,23.57339,119.57697,251455,49,0,陰風 
217,2022/2/11 11:28,"0150deb7d0,0384",U7a89fa99cb80c8496590501db322b56c,葉子的店,23.57429,119.57824,251565,49,0,陰風 
257,2022/2/11 18:28,"0150deb7d0,0336",U7a89fa99cb80c8496590501db322b56c,品川元麻辣火鍋,23.56319,119.59046,253269,49,0,陰風 
1777,2022/2/7 23:25,"0150deb7d0,0436",Ue7237672494c6a4bbebedf37072e668a,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,242779,23,0,雨
1889,2022/2/8 15:02,"0150deb7d0,0075",Ue7237672494c6a4bbebedf37072e668a,信興海產行滿500元送餅乾一包,23.56399,119.56719,244423,23,0,風
1922,2022/2/8 18:58,"0150deb7d0,0024",Ue7237672494c6a4bbebedf37072e668a,澎漁宴餐廳,23.56625705,119.5690162,245279,23,0,風
197,2022/2/10 21:41,"0150deb7d0,0258",U8f52791ff4dff75591e39c111c4859e1,曬食光餐飲店,23.56639,119.56396,250512,38,0,陰風 
265,2022/2/11 21:12,"0150deb7d0,0177",U8f52791ff4dff75591e39c111c4859e1,夏天茶飲,23.57184,119.57075,253885,38,0,陰風 
198,2022/2/10 21:59,"0150deb7d0,0177",U410a9008b1cf495925182f84ce1f204e,夏天茶飲,23.57184,119.57075,250564,22,1,陰風 
252,2022/2/11 18:08,"0150deb7d0,0436",U410a9008b1cf495925182f84ce1f204e,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,253193,22,1,陰風 
4172,2022/4/15 11:49,"0150deb7d0,0329",U410a9008b1cf495925182f84ce1f204e,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,444805,22,1,風
4215,2022/4/16 13:27,"0150deb7d0,0305",U410a9008b1cf495925182f84ce1f204e,桃太郎日式料理,23.56613,119.56468,447807,22,1,風
1059,2022/2/22 18:19,"0150deb7d0,0296",Ue27028025057a63c1353fc5b15c117a8,石泉火雞肉飯,23.55966,119.59789,288555,56,0,雨
1141,2022/2/23 18:35,"0150deb7d0,0372",Ue27028025057a63c1353fc5b15c117a8,ㄇㄇ的臭豆腐,23.55258,119.61097,291744,56,0,中雨風
215,2022/2/11 23:15,"0150deb7d0,0068",Uc31b6630118080fe58e0cf134b3b4124,弗洛伊得飲酒店,23.56755,119.56811,254133,46,1,陰風 
289,2022/2/12 12:06,"0150deb7d0,0328",Uc31b6630118080fe58e0cf134b3b4124,瑞師父海菜煎餅,23.56579,119.56542,254871,46,1,風
5054,2022/4/8 09:00,"0150deb7d0,0139",Uc31b6630118080fe58e0cf134b3b4124,紫光複合式餐飲,23.56601,119.56687,423596,46,1,晴
5067,2022/4/9 12:02,"0150deb7d0,0359",Uc31b6630118080fe58e0cf134b3b4124,Bella調酒專賣店,23.56855353,119.567152,427193,46,1,晴
2548,2022/3/16 15:42,"0150deb7d0,0339",U75559c3a5e306d3cdf5a9e3dbd88febf,秀秀蔥大餅,23.5764,119.57411,357551,61,1,陰
2613,2022/3/17 12:53,"0150deb7d0,0359",U75559c3a5e306d3cdf5a9e3dbd88febf,Bella調酒專賣店,23.56855353,119.567152,360033,61,1,雨陰
2727,2022/3/19 13:05,"0150deb7d0,0311",U75559c3a5e306d3cdf5a9e3dbd88febf,澎湖 朝陽路肉圓,23.57339,119.57697,366272,61,1,多雲風
2888,2022/3/20 19:30,"0150deb7d0,0305",U75559c3a5e306d3cdf5a9e3dbd88febf,桃太郎日式料理,23.56613,119.56468,370187,61,1,陰雨
357,2022/2/13 18:37,"0150deb7d0,0441",U83a795c9bbe7e2600837384f0bc0f999,本家食堂日式料理,23.57544,119.57445,259675,30,0,陰雨
366,2022/2/13 19:20,"0150deb7d0,0322",U83a795c9bbe7e2600837384f0bc0f999,檸檬香茅火鍋澎湖店,23.56283,119.56518,259845,30,0,陰雨
400,2022/2/14 16:07,"0150deb7d0,0311",U83a795c9bbe7e2600837384f0bc0f999,澎湖 朝陽路肉圓,23.57339,119.57697,262212,30,0,陰風 
423,2022/2/14 19:08,"0150deb7d0,0330",U83a795c9bbe7e2600837384f0bc0f999,招柴莉莉,23.57278,119.57504,262870,30,0,陰風 
3290,2022/3/29 12:38,"0150deb7d0,0360",U83a795c9bbe7e2600837384f0bc0f999,芳遠水果行,23.56751,119.56721,395693,30,0,陰風
3300,2022/3/29 16:04,"0150deb7d0,0289",U83a795c9bbe7e2600837384f0bc0f999,抓包．馬公分店,23.5729,119.57694,396343,30,0,陰風
3304,2022/3/29 16:24,"0150deb7d0,0177",U83a795c9bbe7e2600837384f0bc0f999,夏天茶飲,23.57184,119.57075,396415,30,0,陰風
3316,2022/3/29 18:05,"0150deb7d0,0227",U83a795c9bbe7e2600837384f0bc0f999,小林包子饅頭店,23.5685,119.56895,396817,30,0,陰風
3319,2022/3/29 18:13,"0150deb7d0,0328",U83a795c9bbe7e2600837384f0bc0f999,瑞師父海菜煎餅,23.56579,119.56542,396829,30,0,陰風
3438,2022/3/30 12:54,"0150deb7d0,0134",U83a795c9bbe7e2600837384f0bc0f999,呷飽飽燒烤屋,23.57558,119.58025,398765,30,0,多雲
4945,2022/4/6 15:55,"0150deb7d0,0436",U83a795c9bbe7e2600837384f0bc0f999,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,419366,30,0,風
4949,2022/4/6 16:20,"0150deb7d0,0249",U83a795c9bbe7e2600837384f0bc0f999,秋喜肉蛋吐司,23.56867,119.5675,419438,30,0,風
4989,2022/4/7 16:23,"0150deb7d0,0162",U83a795c9bbe7e2600837384f0bc0f999,鯨 鯊威瑪,23.5667,119.56479,421951,30,0,陰風
229,2022/2/11 00:54,"0150deb7d0,0144",U154bd291a178d1a0c85e1957dd0212bd,小小間,23.57003,119.56901,250806,66,0,陰風 
230,2022/2/11 00:55,"0150deb7d0,0370",U154bd291a178d1a0c85e1957dd0212bd,美味登場飯麵館,23.56881,119.57029,250811,66,0,陰風 
316,2022/2/12 06:49,"0150deb7d0,0309",U154bd291a178d1a0c85e1957dd0212bd,澎湖樂晨早午餐,23.57313,119.57701,254384,66,0,風
1940,2022/2/8 21:06,"0150deb7d0,0040",U22810a86bf6c88e1580fc68bb22cc23c,自由塔,23.56993769,119.5713121,245651,43,1,風
1988,2022/2/9 16:50,"0150deb7d0,0222",U22810a86bf6c88e1580fc68bb22cc23c,O le pain 喔！麵包,23.57111,119.57982,247046,43,1,風
2161,2022/3/10 14:13,"0150deb7d0,0244",U22810a86bf6c88e1580fc68bb22cc23c,三ㄚ店&潮style,23.56705,119.56538,338505,43,1,晴
2224,2022/3/11 12:43,"0150deb7d0,0202",U22810a86bf6c88e1580fc68bb22cc23c,原豆工坊咖啡專賣店,23.56409,119.56508,341655,43,1,晴
2256,2022/3/11 20:35,"0150deb7d0,0305",U22810a86bf6c88e1580fc68bb22cc23c,桃太郎日式料理,23.56613,119.56468,343424,43,1,晴
2926,2022/3/21 16:57,"0150deb7d0,0072",U22810a86bf6c88e1580fc68bb22cc23c,日香美食坊歡迎您～,23.57466,119.5768,372207,43,1,陰
3007,2022/3/22 19:35,"0150deb7d0,0360",U22810a86bf6c88e1580fc68bb22cc23c,芳遠水果行,23.56751,119.56721,376266,43,1,陰雨
3974,2022/4/10 17:56,"0150deb7d0,0139",U22810a86bf6c88e1580fc68bb22cc23c,紫光複合式餐飲,23.56601,119.56687,431135,43,1,多雲
3985,2022/4/10 20:04,"0150deb7d0,0166",U22810a86bf6c88e1580fc68bb22cc23c,海森海聲,23.56493,119.56501,431581,43,1,多雲
4002,2022/4/11 12:39,"0150deb7d0,0238",U22810a86bf6c88e1580fc68bb22cc23c,澎湖水仙宮,23.56385,119.56416,432979,43,1,多雲
4463,2022/4/20 20:26,"0150deb7d0,0299",U22810a86bf6c88e1580fc68bb22cc23c,三多燒肉飯,23.57441,119.57805,459880,43,1,陰多雲
4487,2022/4/21 18:39,"0150deb7d0,0373",U22810a86bf6c88e1580fc68bb22cc23c,美德西點麵包店,23.5706,119.57208,461910,43,1,晴
4855,2022/4/4 17:38,"0150deb7d0,0177",U22810a86bf6c88e1580fc68bb22cc23c,夏天茶飲,23.57184,119.57075,414182,43,1,風
4910,2022/4/5 20:03,"0150deb7d0,0237",U22810a86bf6c88e1580fc68bb22cc23c,振發食品行,23.56413,119.5642,417319,43,1,陰多雲
674,2022/2/18 13:08,"0150deb7d0,0329",U549d83ded5aae205862d9454360f140e,金港黑砂糖剉冰-澎湖店,23.57281,119.57393,274757,22,0,陰雨
695,2022/2/18 00:27,"0150deb7d0,0295",U549d83ded5aae205862d9454360f140e,獨領風騷,23.56815,119.56751,273393,22,0,陰雨
752,2022/2/19 01:44,"0150deb7d0,0094",U549d83ded5aae205862d9454360f140e,菲菲檸檬,23.57352,119.57246,277320,22,0,風轉小雨
791,2022/2/19 20:20,"0150deb7d0,0125",U549d83ded5aae205862d9454360f140e,赤崁海產行,23.57061,119.57209,279587,22,0,風轉小雨
1001,2022/2/22 13:02,"0150deb7d0,0091",U549d83ded5aae205862d9454360f140e,玻玻飲食店,23.57971,119.57924,287102,22,0,雨
1079,2022/2/22 21:04,"0150deb7d0,0024",U549d83ded5aae205862d9454360f140e,澎漁宴餐廳,23.56625705,119.5690162,289165,22,0,雨
1081,2022/2/22 21:12,"0150deb7d0,0397",U549d83ded5aae205862d9454360f140e,夯小管燒x雞蛋糕,23.56476,119.58144,289192,22,0,雨
1103,2022/2/23 12:13,"0150deb7d0,0216",U549d83ded5aae205862d9454360f140e,新巴適經典麻辣鍋,23.57179,119.57882,290365,22,0,中雨風
1153,2022/2/23 20:00,"0150deb7d0,0123",U549d83ded5aae205862d9454360f140e,源利軒黑糖糕老店,23.56572,119.56496,292069,22,0,中雨風
2268,2022/3/12 13:34,"0150deb7d0,0134",U549d83ded5aae205862d9454360f140e,呷飽飽燒烤屋,23.57558,119.58025,345054,22,0,晴
2336,2022/3/13 12:49,"0150deb7d0,0160",U549d83ded5aae205862d9454360f140e,海玩子雞蛋糕,23.56997,119.56894,347669,22,0,晴
2659,2022/3/18 13:58,"0150deb7d0,0299",U549d83ded5aae205862d9454360f140e,三多燒肉飯,23.57441,119.57805,363305,22,0,陰
2684,2022/3/18 15:00,"0150deb7d0,0372",U549d83ded5aae205862d9454360f140e,ㄇㄇ的臭豆腐,23.55258,119.61097,363441,22,0,陰
2775,2022/3/19 09:50,"0150deb7d0,0038",U549d83ded5aae205862d9454360f140e,石滬廣場站,23.56312198,119.5648365,365742,22,0,多雲風
3027,2022/3/23 13:29,"0150deb7d0,0236",U549d83ded5aae205862d9454360f140e,菊楓食堂日式料理,23.57538,119.58058,378000,22,0,小雨風
3071,2022/3/24 13:20,"0150deb7d0,0079",U549d83ded5aae205862d9454360f140e,冰吧豆花店 打卡送配料~~,23.56673,119.56773,380776,22,0,小雨陰
3073,2022/3/24 13:46,"0150deb7d0,0386",U549d83ded5aae205862d9454360f140e,四季肉圓專賣店,23.57334,119.57233,380872,22,0,小雨陰
3714,2022/3/7 22:17,"0150deb7d0,0284",U549d83ded5aae205862d9454360f140e,澎湖湯包王,23.57572,119.57479,330123,22,0,陰風
3752,2022/3/7 20:42,"0150deb7d0,0384",U549d83ded5aae205862d9454360f140e,葉子的店,23.57429,119.57824,329840,22,0,陰風
3820,2022/3/8 09:53,"0150deb7d0,0226",U549d83ded5aae205862d9454360f140e,津旺素食,23.56742,119.5681,330714,22,0,風多雲
599,2022/2/16 19:46,"0150deb7d0,0330",U98d0d675417375da1eea4c4bd7cdb2e9,招柴莉莉,23.57278,119.57504,269356,15,0,陰風 
641,2022/2/17 15:23,"0150deb7d0,0281",U98d0d675417375da1eea4c4bd7cdb2e9,霸味薑母鴨,23.5705,119.57567,271537,15,0,風
3570,2022/3/4 17:09,"0150deb7d0,0177",U98d0d675417375da1eea4c4bd7cdb2e9,夏天茶飲,23.57184,119.57075,320326,15,0,晴
3640,2022/3/5 20:46,"0150deb7d0,0175",U98d0d675417375da1eea4c4bd7cdb2e9,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,323942,15,0,陰風
3282,2022/3/28 09:34,"0150deb7d0,0240",U9d74e50af944020a75cdc3d1928eddee,文化路蔥油餅,23.56825,119.56753,392677,54,1,雨
3332,2022/3/29 18:53,"0150deb7d0,0291",U9d74e50af944020a75cdc3d1928eddee,天津蔥抓餅,23.57431,119.5792,396972,54,1,陰風
898,2022/2/20 16:20,"0150deb7d0,0027",U954f8e628b485f2c105b7e035639650b,五鮮上醬海產專賣,23.56580466,119.5654261,281750,79,1,風轉小雨
973,2022/2/21 17:48,"0150deb7d0,0305",U954f8e628b485f2c105b7e035639650b,桃太郎日式料理,23.56613,119.56468,285006,79,1,雨
1589,2022/2/4 15:50,"0150deb7d0,0221",U954f8e628b485f2c105b7e035639650b,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,233983,79,1,風
1625,2022/2/5 10:22,"0150deb7d0,0371",U954f8e628b485f2c105b7e035639650b,阿鳳牛肉河粉,23.57142,119.57239,235768,79,1,陰風 
4261,2022/4/17 11:41,"0150deb7d0,0393",U954f8e628b485f2c105b7e035639650b,紐西蘭牛排館,23.57295,119.57542,449834,79,1,風
4286,2022/4/18 01:56,"0150deb7d0,0068",U954f8e628b485f2c105b7e035639650b,弗洛伊得飲酒店,23.56755,119.56811,451852,79,1,陰風
4493,2022/4/21 20:04,"0150deb7d0,0152",U954f8e628b485f2c105b7e035639650b,邁泰MAI TAI THAI TEA,23.56667,119.56486,462110,79,1,晴
4494,2022/4/21 20:05,"0150deb7d0,0258",U954f8e628b485f2c105b7e035639650b,曬食光餐飲店,23.56639,119.56396,462112,79,1,晴
4529,2022/4/22 08:29,"0150deb7d0,0197",U954f8e628b485f2c105b7e035639650b,嚐香聚牛肉麵,23.57425,119.57308,462740,79,1,晴雨
5016,2022/4/7 08:51,"0150deb7d0,0307",U954f8e628b485f2c105b7e035639650b,世軒西點麵包????,23.57275,119.57417,421047,79,1,陰風
5025,2022/4/8 11:11,"0150deb7d0,0177",U954f8e628b485f2c105b7e035639650b,夏天茶飲,23.57184,119.57075,423862,79,1,晴
275,2022/2/12 22:21,"0150deb7d0,0336",U30a6bc41cf10174b9c25ae2ce35f8adb,品川元麻辣火鍋,23.56319,119.59046,257109,54,1,風
377,2022/2/13 08:40,"0150deb7d0,0036",U30a6bc41cf10174b9c25ae2ce35f8adb,岩質咖啡,23.56646069,119.5790493,257768,54,1,陰雨
2357,2022/3/13 18:37,"0150deb7d0,0175",U30a6bc41cf10174b9c25ae2ce35f8adb,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,348798,54,1,晴
2408,2022/3/14 16:51,"0150deb7d0,0172",U30a6bc41cf10174b9c25ae2ce35f8adb,小城故事庭園咖啡館,23.56972,119.56732,351351,54,1,陰
712,2022/2/18 15:32,"0150deb7d0,0207",U1e7bdecb0fa61d04490ebac3ffaa905e,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,275328,49,0,陰雨
770,2022/2/19 15:55,"0150deb7d0,0112",U1e7bdecb0fa61d04490ebac3ffaa905e,劉正港檸檬汁-中華店,23.57204,119.57574,278677,49,0,風轉小雨
796,2022/2/19 09:38,"0150deb7d0,0412",U1e7bdecb0fa61d04490ebac3ffaa905e,四方早餐店,23.56619,119.58263,277657,49,0,風轉小雨
3735,2022/3/7 16:44,"0150deb7d0,0050",U1e7bdecb0fa61d04490ebac3ffaa905e,澎湖海洋地質公園中心,23.56633846,119.5787976,328943,49,0,陰風
3738,2022/3/7 17:23,"0150deb7d0,0308",U1e7bdecb0fa61d04490ebac3ffaa905e,沐一日式豬排專賣店,23.57319,119.57316,329164,49,0,陰風
3772,2022/3/8 11:52,"0150deb7d0,0078",U1e7bdecb0fa61d04490ebac3ffaa905e,白灣景觀餐廳,23.56154,119.64737,331097,49,0,風多雲
3788,2022/3/8 14:58,"0150deb7d0,0216",U1e7bdecb0fa61d04490ebac3ffaa905e,新巴適經典麻辣鍋,23.57179,119.57882,331918,49,0,風多雲
4217,2022/4/16 11:11,"0150deb7d0,0338",U1e7bdecb0fa61d04490ebac3ffaa905e,曾記滿福堂擔仔麵,23.57406,119.57323,447441,49,0,風
4259,2022/4/17 10:42,"0150deb7d0,0334",U1e7bdecb0fa61d04490ebac3ffaa905e,小熊與樹小熊燒馬公店,23.56762,119.58277,449733,49,0,風
4628,2022/4/25 21:35,"0150deb7d0,0249",U1e7bdecb0fa61d04490ebac3ffaa905e,秋喜肉蛋吐司,23.56867,119.5675,472069,49,0,晴多雲
4634,2022/4/26 10:47,"0150deb7d0,0311",U1e7bdecb0fa61d04490ebac3ffaa905e,澎湖 朝陽路肉圓,23.57339,119.57697,472802,49,0,晴多雲
4663,2022/4/26 09:29,"0150deb7d0,0217",U1e7bdecb0fa61d04490ebac3ffaa905e,趴兔PART TWO茶坊,23.56289,119.58495,472699,49,0,晴多雲
4787,2022/4/3 07:41,"0150deb7d0,0395",U1e7bdecb0fa61d04490ebac3ffaa905e,大口香雞排,23.56719,119.56471,410386,49,0,陰風
4788,2022/4/3 07:42,"0150deb7d0,0305",U1e7bdecb0fa61d04490ebac3ffaa905e,桃太郎日式料理,23.56613,119.56468,410388,49,0,陰風
4828,2022/4/4 10:36,"0150deb7d0,0066",U1e7bdecb0fa61d04490ebac3ffaa905e,北海道海產專賣店,23.56637,119.56886,413110,49,0,風
1800,2022/2/7 14:25,"0150deb7d0,0338",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,曾記滿福堂擔仔麵,23.57406,119.57323,241120,34,1,雨
1804,2022/2/7 14:40,"0150deb7d0,0207",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,241156,34,1,雨
1805,2022/2/7 14:41,"0150deb7d0,0370",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,美味登場飯麵館,23.56881,119.57029,241167,34,1,雨
1811,2022/2/7 15:00,"0150deb7d0,0021",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,希望天地珊瑚珍珠,23.56519326,119.5675032,241228,34,1,雨
1818,2022/2/7 15:31,"0150deb7d0,0024",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,澎漁宴餐廳,23.56625705,119.5690162,241289,34,1,雨
1821,2022/2/7 15:41,"0150deb7d0,0072",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,日香美食坊歡迎您～,23.57466,119.5768,241315,34,1,雨
1847,2022/2/7 18:54,"0150deb7d0,0311",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,澎湖 朝陽路肉圓,23.57339,119.57697,241970,34,1,雨
1870,2022/2/8 11:10,"0150deb7d0,0040",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,自由塔,23.56993769,119.5713121,243539,34,1,風
1878,2022/2/8 12:30,"0150deb7d0,0150",Ubd14cefc1682ba6ea76aec6c8e0cb0ba,好享吃小火鍋,23.56745,119.56641,243809,34,1,風
